BIENES DE USO;Vida Util;Coeficiente
Edificaciones ;40;2.50
Muebles y enseres de oficina ;10;10.00
Maquinaria en general ;8;12.50
Equipos e instalaciones ;8;12.50
Barcos y lanchas en general ;10;10.00
Vehiculos automotores ;5;20.00
Aviones ;5;20.00
Maquinaria para la construccion;5;20.00
Maquinaria agricola ;4;25.00
Animales de trabajo ;4;25.00
Herramientas en general ;4;25.00
Reproductores y hembras pedigree o puros por cruza;8;12.50
Equipos de computacion ;4;25.00
Canales de regado y pozos ;20;5.00
Estanques, banaderos y abrevaderos ;10;10.00
Alambrados, tranqueras y vallas ;10;10.00
Viviendas para el personal ;20;5.00
Muebles y enseres en las viviendas para el personal;10;10.00
Silos, almacenes y galpones ;20;5.00
Tinglados y cobertizos de madera ;5;20.00
Tinglados y cobertizos de metal ;10;10.00
Instalaciones de electrificacion y Telefonia rural;10;10.00
Caminos interiores ;10;10.00
Cana de azucar ;5;20.00
Vides ;8;12.50
Frutales ;10;10.00
Otras plantaciones ;0;0
Pozos Petroleros ;5;20.00
Lineas de Recoleccion de la industria Petrolera.;5;20.00
Equipos de campo de la industria Petrolera;8;12.50
Plantas de Procesamiento de Industria Petrolera;8;12.50
Ductos de la industria petrolera ;10;10.00